Betis,1975-76,P,P,G,P,G,G,G,E,E,G,E,P,P,G,E,P,G,G,P,G,P,G,P,G,P,E,P,G,P,G
Real Madrid,1975-76,G,E,G,G,G,E,G,E,E,G,G,E,E,G,P,G,P,P,G,G,G,E,G,G,G,G,P,G,E,G
Santander,1975-76,P,G,G,G,P,E,P,E,E,G,G,P,G,P,G,P,P,G,P,G,P,G,P,G,P,G,P,P,G,P
Sevilla,1975-76,G,P,G,P,G,E,G,P,E,P,E,P,G,P,G,G,E,G,E,P,G,P,G,P,G,P,G,P,G,P
Las Palmas,1975-76,P,G,P,P,P,G,P,E,P,E,P,P,P,G,G,G,P,P,P,E,G,E,G,G,E,G,P,G,P,G
Valencia,1975-76,G,P,P,G,G,P,P,E,G,E,P,G,P,G,P,P,G,P,E,P,P,E,E,G,P,G,E,G,P,E
Oviedo,1975-76,P,E,P,G,P,P,P,E,P,P,P,G,E,P,P,G,P,G,P,G,P,G,E,G,P,G,P,G,P,P
Salamanca,1975-76,G,P,E,P,G,G,P,E,G,E,G,P,E,P,G,E,E,P,G,E,E,P,E,P,G,P,P,P,G,P
Atletico de Bilbao,1975-76,P,G,G,P,G,E,G,E,E,E,G,P,G,P,E,E,E,G,E,P,G,P,G,P,G,E,G,P,G,E
Zaragoza,1975-76,G,P,G,P,P,P,P,P,P,P,E,G,E,G,E,E,E,P,G,P,G,P,P,E,G,P,G,G,E,G
Atletico de Madrid,1975-76,P,E,P,G,P,G,G,G,E,G,G,G,G,E,G,G,G,G,P,G,E,G,P,G,P,P,G,E,G,P
Atletico de Bilbao,1976-77,G,G,E,P,P,P,E,G,E,G,P,E,P,G,P,G,P,E,G,G,G,P,G,G,P,G,E,G,E,G
Santander,1976-77,P,G,P,G,E,G,P,G,P,E,P,G,P,E,E,G,P,E,P,E,P,G,P,E,P,G,P,G,P,G
Sevilla,1976-77,E,G,G,P,E,E,G,P,P,E,E,G,E,E,E,P,E,P,G,P,G,E,G,P,G,E,G,P,P,G
Elche,1976-77,E,E,P,P,E,G,P,P,G,E,G,P,G,P,G,P,G,G,P,G,P,E,E,G,P,P,E,P,E,G
Zaragoza,1976-77,E,P,G,P,G,P,P,P,G,P,E,E,E,P,P,E,E,P,E,P,G,G,G,P,G,E,E,P,G,P
Real Sociedad,1976-77,E,E,P,G,E,P,G,P,G,E,G,E,G,P,G,G,G,G,P,G,P,P,E,P,G,P,E,P,G,P
Atletico de Madrid,1976-77,G,P,G,P,G,G,G,G,G,P,E,E,P,E,G,G,G,E,G,E,G,G,E,E,G,P,G,G,G,P
CD Malaga,1976-77,P,G,E,G,P,E,P,G,P,E,P,E,P,P,P,P,P,E,P,P,P,E,P,P,P,P,P,G,P,P
Barcelona,1976-77,G,P,G,P,G,G,P,E,G,G,E,G,E,G,G,G,G,P,G,E,G,P,P,E,E,E,P,G,G,G
Las Palmas,1976-77,P,G,P,G,P,G,P,G,P,E,E,E,G,P,G,E,G,G,P,G,P,P,G,G,P,G,E,E,P,P
